Status,Progress,Duration (in seconds),Finished,UserLanguage,StratAcadUES,EffortAcadUES,StratSportsUES,EffortSportsUES,StratParentUES,EffortParentUES,StratDietUES,EffortDietUES,EffortTeamUES,StratTeamUES,StratSalesUES,EffortSalesUES,StratRelationUES,EffortRelationUES,StratAcadUSE,EffortAcadUSE,StratSportsUSE,EffortSportsUSE,StratParentUSE,EffortParentUSE,StratDietUSE,EffortDietUSE,StratTeamUSE,EffortTeamUSE,StratSalesUSE,EffortSalesUSE,StratRelationUSE,EffortRelationUSE,EffortDim1_1,EffortDim1_2,EffortDim1_3,EffortDim2_1,EffortDim2_2,EffortDim2_3,EffortDim3_1,EffortDim3_2,EffortDim3_3,EffortDim4_1,EffortDim4_2,EffortDim4_3,StratDim1_1,StratDim1_2,StratDim1_3,StratDim2_1,StratDim2_2,StratDim2_3,StratDim3_1,StratDim3_2,StratDim3_3,StratDim4_1,StratDim4_2,StratDim4_3,Gender,Race,Race_6_TEXT,Age,Education,FL_134_DO,FL_133_DO,FL_111_DO,FL_26_DO
0,100,255,1,EN,,,,,,,,,,,,,,,2,3,2,3,5,5,2,5,2,3,2,2,2,3,1,1,9,1,9,1,9,9,1,1,9,9,1,1,8,2,5,2,8,3,3,2,9,5,1,1,,26,5,FL_111,,StrategyRelationshipDifficulty-USE|EffortParentingDifficulty-USE|EffortAcademicDifficulty-USE|EffortDietDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortTeamworkDifficulty-USE|EffortRelationshipDifficulty-USE|EffortSalesDifficulty-USE|StrategySalesDifficulty-USE|EffortSportsDifficulty-USE|StrategyParentingDifficulty-USE|StrategySportsDifficulty-USE|StrategyAcademicDifficulty-USE|StrategyDietDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,241,1,EN,,,,,,,,,,,,,,,3,3,2,2,5,5,3,3,2,2,2,2,6,6,1,1,5,1,8,1,8,8,1,1,9,8,5,4,5,2,5,4,5,6,4,4,7,5,1,1,,47,6,FL_111,,StrategySalesDifficulty-USE|StrategyDietDifficulty-USE|StrategySportsDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortParentingDifficulty-USE|EffortTeamworkDifficulty-USE|EffortDietDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortSalesDifficulty-USE|StrategyAcademicDifficulty-USE|EffortSportsDifficulty-USE|EffortAcademicDifficulty-USE|StrategyParentingDifficulty-USE|EffortRelationshipDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,237,1,EN,3,6,2,2,6,6,2,2,3,3,3,2,2,2,,,,,,,,,,,,,,,1,1,1,1,1,1,1,9,1,1,9,9,8,2,5,1,8,3,3,8,3,2,8,9,1,2,,27,3,FL_133,EffortSportsDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortDietDifficulty-UES|EffortRelationshipDifficulty-UES|StrategyDietDifficulty-UES|EffortSalesDifficulty-UES|StrategyTeamworkDifficulty-UES|StrategyParentingDifficulty-UES|EffortAcademicDifficulty-UES|StrategySportsDifficulty-UES|StrategyAcademicDifficulty-UES|EffortParentingDifficulty-UES|StrategySalesDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,272,1,EN,4,4,4,4,6,6,5,5,4,4,4,4,4,4,,,,,,,,,,,,,,,9,1,9,1,9,1,9,9,1,1,9,9,5,5,9,5,5,5,9,5,5,5,5,5,1,1,,77,7,FL_133,EffortParentingDifficulty-UES|EffortSportsDifficulty-UES|EffortDietDifficulty-UES|StrategyAcademicDifficulty-UES|StrategyParentingDifficulty-UES|StrategyRelationshipDifficulty-UES|StrategyTeamworkDifficulty-UES|StrategyDietDifficulty-UES|EffortRelationshipDifficulty-UES|StrategySportsDifficulty-UES|StrategySalesDifficulty-UES|EffortAcademicDifficulty-UES|EffortTeamworkDifficulty-UES|EffortSalesDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,221,1,EN,,,,,,,,,,,,,,,3,3,2,2,5,5,2,2,5,5,2,2,2,2,1,1,9,1,9,1,9,9,1,1,9,9,3,2,8,2,2,2,8,8,2,2,8,2,1,1,,32,5,FL_111,,StrategySalesDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortParentingDifficulty-USE|EffortRelationshipDifficulty-USE|StrategySportsDifficulty-USE|StrategyDietDifficulty-USE|EffortAcademicDifficulty-USE|EffortSalesDifficulty-USE|StrategyParentingDifficulty-USE|EffortDietDifficulty-USE|EffortSportsDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortTeamworkDifficulty-USE|StrategyAcademicDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,296,1,EN,3,6,6,5,6,6,2,1,6,3,3,6,3,2,,,,,,,,,,,,,,,1,1,2,1,9,1,7,9,1,1,9,9,3,3,4,3,8,3,8,8,3,2,7,7,1,1,,44,4,FL_133,StrategyRelationshipDifficulty-UES|StrategySalesDifficulty-UES|EffortParentingDifficulty-UES|EffortAcademicDifficulty-UES|EffortTeamworkDifficulty-UES|StrategySportsDifficulty-UES|StrategyDietDifficulty-UES|StrategyAcademicDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortSalesDifficulty-UES|EffortRelationshipDifficulty-UES|StrategyParentingDifficulty-UES|EffortDietDifficulty-UES|EffortSportsDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,230,1,EN,,,,,,,,,,,,,,,2,3,4,4,2,4,1,2,2,4,3,1,2,3,8,9,7,8,7,9,9,8,7,9,8,7,9,8,7,8,7,9,9,8,7,7,8,9,1,3,,38,5,FL_111,,EffortRelationshipDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortTeamworkDifficulty-USE|StrategyRelationshipDifficulty-USE|StrategyDietDifficulty-USE|StrategySalesDifficulty-USE|EffortSportsDifficulty-USE|StrategyParentingDifficulty-USE|EffortAcademicDifficulty-USE|StrategyAcademicDifficulty-USE|EffortSalesDifficulty-USE|EffortParentingDifficulty-USE|EffortDietDifficulty-USE|StrategySportsDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,272,1,EN,6,2,2,3,2,2,5,5,2,2,3,6,3,3,,,,,,,,,,,,,,,2,2,5,2,2,2,5,9,1,1,9,9,1,1,5,2,7,5,5,9,1,1,8,9,1,5,,25,6,FL_133,EffortParentingDifficulty-UES|EffortTeamworkDifficulty-UES|StrategySalesDifficulty-UES|EffortSalesDifficulty-UES|StrategyDietDifficulty-UES|StrategySportsDifficulty-UES|EffortRelationshipDifficulty-UES|StrategyTeamworkDifficulty-UES|StrategyParentingDifficulty-UES|EffortSportsDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortAcademicDifficulty-UES|EffortDietDifficulty-UES|StrategyAcademicDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,229,1,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,9,8,9,8,9,8,8,9,8,9,8,9,9,8,9,9,8,9,9,8,9,8,9,8,1,3,,32,6,FL_133,StrategySportsDifficulty-UES|StrategyTeamworkDifficulty-UES|StrategyParentingDifficulty-UES|EffortParentingDifficulty-UES|StrategySalesDifficulty-UES|EffortTeamworkDifficulty-UES|EffortAcademicDifficulty-UES|EffortDietDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortSalesDifficulty-UES|EffortSportsDifficulty-UES|StrategyAcademicDifficulty-UES|StrategyDietDifficulty-UES|EffortRelationshipDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,279,1,EN,,,,,,,,,,,,,,,5,3,5,6,5,2,6,4,5,2,5,2,2,3,2,2,8,2,7,3,2,7,2,8,8,4,2,3,8,2,6,5,7,4,6,2,7,7,1,1,,42,4,FL_111,,EffortSportsDifficulty-USE|EffortRelationshipDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortTeamworkDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortAcademicDifficulty-USE|StrategyAcademicDifficulty-USE|StrategyDietDifficulty-USE|EffortSalesDifficulty-USE|StrategyParentingDifficulty-USE|EffortDietDifficulty-USE|EffortParentingDifficulty-USE|StrategySportsDifficulty-USE|StrategySalesDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,319,1,EN,3,2,3,2,6,6,5,5,3,3,5,5,3,3,,,,,,,,,,,,,,,2,2,7,2,8,1,8,8,1,1,8,8,5,4,6,3,7,2,7,6,4,3,7,6,1,1,,40,6,FL_133,StrategyRelationshipDifficulty-UES|EffortRelationshipDifficulty-UES|StrategyDietDifficulty-UES|StrategySportsDifficulty-UES|StrategyAcademicDifficulty-UES|StrategyParentingDifficulty-UES|StrategySalesDifficulty-UES|EffortSportsDifficulty-UES|EffortParentingDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortDietDifficulty-UES|EffortTeamworkDifficulty-UES|EffortAcademicDifficulty-UES|EffortSalesDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,320,1,EN,3,3,6,2,6,2,3,5,3,6,6,2,3,2,,,,,,,,,,,,,,,3,2,8,2,8,2,8,8,2,2,8,6,6,2,8,2,4,7,8,4,5,4,8,4,2,1,,25,5,FL_133,StrategyParentingDifficulty-UES|StrategyAcademicDifficulty-UES|StrategySalesDifficulty-UES|EffortAcademicDifficulty-UES|EffortParentingDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortDietDifficulty-UES|EffortSalesDifficulty-UES|StrategyDietDifficulty-UES|StrategySportsDifficulty-UES|EffortRelationshipDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortSportsDifficulty-UES|EffortTeamworkDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,297,1,EN,,,,,,,,,,,,,,,5,5,2,3,5,5,2,2,5,5,2,2,6,6,1,1,7,1,8,1,8,8,1,2,9,6,1,1,7,2,3,2,6,8,2,2,9,7,1,1,,25,3,FL_111,,StrategyDietDifficulty-USE|StrategyParentingDifficulty-USE|EffortAcademicDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortTeamworkDifficulty-USE|EffortParentingDifficulty-USE|StrategyRelationshipDifficulty-USE|StrategySalesDifficulty-USE|EffortSalesDifficulty-USE|EffortDietDifficulty-USE|EffortSportsDifficulty-USE|StrategyAcademicDifficulty-USE|EffortRelationshipDifficulty-USE|StrategySportsDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,324,1,EN,3,5,6,3,2,6,1,1,3,2,5,5,1,3,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,1,1,1,9,9,9,1,3,,31,5,FL_133,StrategyParentingDifficulty-UES|EffortTeamworkDifficulty-UES|EffortAcademicDifficulty-UES|StrategySportsDifficulty-UES|StrategyDietDifficulty-UES|StrategyAcademicDifficulty-UES|EffortRelationshipDifficulty-UES|EffortSportsDifficulty-UES|StrategySalesDifficulty-UES|EffortSalesDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortParentingDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortDietDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,347,1,EN,,,,,,,,,,,,,,,3,3,3,3,5,2,2,2,5,5,2,2,3,3,9,4,4,3,9,9,8,8,3,2,9,8,9,1,8,3,7,7,8,9,4,2,9,8,2,1,,26,5,FL_111,,StrategySalesDifficulty-USE|EffortAcademicDifficulty-USE|StrategyRelationshipDifficulty-USE|StrategyDietDifficulty-USE|EffortTeamworkDifficulty-USE|EffortSalesDifficulty-USE|StrategyAcademicDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategySportsDifficulty-USE|StrategyParentingDifficulty-USE|EffortRelationshipDifficulty-USE|EffortParentingDifficulty-USE|EffortSportsDifficulty-USE|EffortDietDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,324,1,EN,,,,,,,,,,,,,,,5,5,2,2,3,5,1,5,2,5,4,6,2,5,1,2,1,1,2,2,2,2,3,3,1,2,9,8,8,1,2,2,1,2,2,2,9,9,1,3,,31,5,FL_111,,EffortTeamworkDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategyRelationshipDifficulty-USE|StrategyParentingDifficulty-USE|StrategySportsDifficulty-USE|EffortDietDifficulty-USE|EffortAcademicDifficulty-USE|EffortRelationshipDifficulty-USE|EffortSalesDifficulty-USE|StrategyAcademicDifficulty-USE|EffortSportsDifficulty-USE|StrategyDietDifficulty-USE|StrategySalesDifficulty-USE|EffortParentingDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,282,1,EN,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,8,9,8,7,8,7,8,9,8,7,8,7,8,7,8,7,8,9,7,8,9,7,8,7,1,3,,35,6,FL_133,StrategyDietDifficulty-UES|StrategyAcademicDifficulty-UES|StrategySportsDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortDietDifficulty-UES|EffortParentingDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortSalesDifficulty-UES|EffortRelationshipDifficulty-UES|EffortAcademicDifficulty-UES|StrategyParentingDifficulty-UES|EffortTeamworkDifficulty-UES|EffortSportsDifficulty-UES|StrategySalesDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,357,1,EN,2,2,2,2,6,6,6,6,6,6,3,3,2,2,,,,,,,,,,,,,,,1,1,9,1,9,1,9,9,1,1,9,9,9,1,5,1,5,5,1,5,5,5,9,5,2,1,,53,4,FL_133,EffortAcademicDifficulty-UES|EffortRelationshipDifficulty-UES|StrategySportsDifficulty-UES|EffortSportsDifficulty-UES|StrategyAcademicDifficulty-UES|StrategySalesDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortDietDifficulty-UES|StrategyDietDifficulty-UES|EffortParentingDifficulty-UES|StrategyParentingDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortSalesDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,247,1,EN,2,2,5,5,3,3,2,5,2,5,1,3,5,5,,,,,,,,,,,,,,,8,6,5,6,5,6,4,5,6,6,5,6,3,4,4,4,5,6,6,7,7,6,5,4,1,3,,28,6,FL_133,EffortSalesDifficulty-UES|EffortParentingDifficulty-UES|StrategyDietDifficulty-UES|StrategyRelationshipDifficulty-UES|StrategySportsDifficulty-UES|EffortDietDifficulty-UES|StrategyTeamworkDifficulty-UES|StrategySalesDifficulty-UES|EffortTeamworkDifficulty-UES|EffortAcademicDifficulty-UES|StrategyParentingDifficulty-UES|EffortRelationshipDifficulty-UES|EffortSportsDifficulty-UES|StrategyAcademicDifficulty-UES,,EffortDimensions|StrategyDimensions
