ID,AptAdviceFail,AptExpectancyFail,AptAdviceSucc,AptExpectancySucc,EffortAdviceFail,EffortExpectancyFail,EffortAdviceSucc,EffortExpectancySucc,StratAdviseFail,StratExpectancyFail,StratAdviceSucc,StratExpectancySucc,Actions,Investigate,Invest,Switch,Transfer,Expectancy,AptOut,AptVar,AptUncon,EffortOut,EffortVar,EffortUncon,MoodOut,MoodVar,MoodUncon,StratOut,StratVar,StratUncon,LuckOut,LuckVar,LuckUncon,TaskOut,TaskVar,TaskUncon,SMS1,SMS2,SMS3,SMS4,SMS5,SMS6,SMS7,SMS8,SMS,SMO1,SMO2,SMO3,SMO,SO1,SO2,SO3,SO4,SO,Gender,Race_1,Race_2,Race_3,Race_4,Race_4_TEXT,Race_5,Race_7,Age,Education,Scenario,Valence,Attribution,DO-BR-FL_26,DO-BL-SO,Redo_Val,Redo_Den,Redo_Final,Method_Val,Method_Den,Method_Final,BruteForce_Val,BruteForce_Den,BruteForce_Final,TangibleRewards_Val,TangibleRewards_Den,TangibleRewards_Final,Threat_Val,Threat_Den,Threat_Final,Redo_Den2,Redo_Val2,Redo_Final2,BruteForce_Den2,BruteForce_Val2,BruteForce_Final2
20,,,,,,,"I would review the proposal before showcasing it.  When I did showcase the proposal I would make sure to give credit to the employee who submitted the proposal and did all the leg work.  I would want to make sure that I went over the proposal to make 100% it was correct, and once it was showcased I would want to make sure the employee got the credit they deserve.",10,,,,,"I would review the proposal before showcasing it.  When I did showcase the proposal I would make sure to give credit to the employee who submitted the proposal and did all the leg work.  I would want to make sure that I went over the proposal to make 100% it was correct, and once it was showcased I would want to make sure the employee got the credit they deserve.",0,0,0,0,10,1,4,6,1,2,1,1,7,5,1,3,2,4,5,7,7,5,6,4,3,4,1,5,3,5,4,3.625,6,7,6,6.333333333,4,3,5,4,4,1,1,,,,,,,31,4,Effort Scenario Success,Success,Effort,Task Dimensions|Luck Dimensions|Effort Dimensions|Mood Dimensions|Strategy Dimensions|Aptitude Dimensions,Q90|SO1|SO3|SO4|SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,,,,,i would explain to the employee that i did not feel he put enough effort into it and to do it again,6,,,,,,,i would explain to the employee that i did not feel he put enough effort into it and to do it again,0,0,0,0,6,4,4,4,6,3,2,5,3,5,5,4,4,4,4,4,2,2,2,3,3,3,3,3,3,4,4,3.25,6,5,5,5.333333333,3,3,3,3,3,2,1,,,,,,,40,4,Effort Scenario Fail,Fail,Effort,Effort Dimensions|Luck Dimensions|Strategy Dimensions|Aptitude Dimensions|Task Dimensions|Mood Dimensions,Q90|SO4|SO3|SO1|SO2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
22,"I would try giving the employee a task more suited for lower abilities. If they couldn't handle this, I would consider terminating them.",3,,,,,,,,,,,"I would try giving the employee a task more suited for lower abilities. If they couldn't handle this, I would consider terminating them.",0,0,1,1,3,3,2,7,1,3,2,3,5,5,2,6,2,7,7,7,7,6,6,3,3,3,2,2,2,2,2,2.375,2,2,2,2,4,4,4,4,4,2,1,,,,,,,28,5,Aptitude Scenario Fail,Fail,Aptitude,Strategy Dimensions|Luck Dimensions|Mood Dimensions|Task Dimensions|Effort Dimensions|Aptitude Dimensions,Q90|SO3|SO2|SO4|SO1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
23,,,,,,,,,I would speak to the employee about his/her subpar performance and ask to resubmit a new proposal.,4,,,I would speak to the employee about his/her subpar performance and ask to resubmit a new proposal.,0,0,0,0,4,3,6,2,2,6,3,2,6,2,2,6,2,6,6,7,6,6,6,4,4,3,2,3,4,4,5,3.625,6,6,6,6,3,4,5,4,4,2,,,,,,1,,38,5,Strategy Scenario Fail,Fail,Strategy,Aptitude Dimensions|Effort Dimensions|Task Dimensions|Luck Dimensions|Strategy Dimensions|Mood Dimensions,Q90|SO1|SO3|SO2|SO4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
24,,,,,I would reject the proposal and then talk to the employee about their performance. If it's out of character for the employee I would want to ask if there's something going on in their personal life.,7,,,,,,,I would reject the proposal and then talk to the employee about their performance. If it's out of character for the employee I would want to ask if there's something going on in their personal life.,1,0,0,0,7,1,3,2,1,6,1,1,4,2,2,2,1,7,7,7,6,7,4,3,4,3,2,4,3,4,4,3.375,5,5,5,5,4,3,4,4,3.75,2,,,,,,1,,24,7,Effort Scenario Fail,Fail,Effort,Luck Dimensions|Task Dimensions|Aptitude Dimensions|Mood Dimensions|Effort Dimensions|Strategy Dimensions,Q90|SO2|SO1|SO3|SO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,,,,,,,,i would explain to them the flaws in their proposal and ask them to revise.,6,,,i would explain to them the flaws in their proposal and ask them to revise.,0,0,0,0,6,2,5,4,3,5,2,2,5,3,4,6,2,6,6,5,5,4,5,3,4,4,2,3,4,3,4,3.375,6,5,6,5.666666667,4,3,3,4,3.5,1,1,,,,,,,29,5,Strategy Scenario Fail,Fail,Strategy,Task Dimensions|Aptitude Dimensions|Mood Dimensions|Luck Dimensions|Effort Dimensions|Strategy Dimensions,Q90|SO2|SO1|SO4|SO3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
26,,,,,,,,,I would give the proposal back to the employee and tell them to redo the work. I would list what is wrong with the proposal and make sure they know the quality of work that is expected of them in the future.,7,,,I would give the proposal back to the employee and tell them to redo the work. I would list what is wrong with the proposal and make sure they know the quality of work that is expected of them in the future.,0,0,0,0,7,1,1,6,1,6,1,3,5,2,2,3,1,7,7,7,7,7,5,3,3,3,2,3,3,3,3,2.875,3,3,3,3,3,4,3,3,3.25,1,1,,,,,,,42,5,Strategy Scenario Fail,Fail,Strategy,Aptitude Dimensions|Luck Dimensions|Mood Dimensions|Strategy Dimensions|Task Dimensions|Effort Dimensions,Q90|SO2|SO4|SO3|SO1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
27,,,,,,,,,,,"I would praise the employee, giving a bonus if possible, as well as showcase it for the rest of the company. ",9,"I would praise the employee, giving a bonus if possible, as well as showcase it for the rest of the company. ",0,0,0,0,9,2,4,5,1,3,1,1,4,1,1,5,3,7,7,7,6,7,5,3,3,2,3,3,2,4,3,2.875,5,4,4,4.333333333,4,5,4,4,4.25,1,1,,,,,,,24,5,Strategy Scenario Success,Success,Strategy,Strategy Dimensions|Aptitude Dimensions|Task Dimensions|Luck Dimensions|Mood Dimensions|Effort Dimensions,Q90|SO4|SO3|SO2|SO1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
28,,,,,I will strongly punish him for that low quality proposal. And i will inform him for that.,10,,,,,,,I will strongly punish him for that low quality proposal. And i will inform him for that.,0,0,0,0,10,2,2,2,7,6,7,3,5,2,2,3,2,6,6,2,3,2,5,4,4,5,4,4,3,5,4,4.125,6,7,6,6.333333333,5,4,4,5,4.5,2,1,,,,,,,28,6,Effort Scenario Fail,Fail,Effort,Effort Dimensions|Luck Dimensions|Aptitude Dimensions|Strategy Dimensions|Mood Dimensions|Task Dimensions,Q90|SO3|SO1|SO2|SO4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
29,,,"In this situation I would talk with the employee after the submitted their proposal, I would use their proposal to showcase and then afterwards give them credit, and then ask them if they wanted a promotion and pay raise based on their work and give it to them if they accepted it.",8,,,,,,,,,"In this situation I would talk with the employee after the submitted their proposal, I would use their proposal to showcase and then afterwards give them credit, and then ask them if they wanted a promotion and pay raise based on their work and give it to them if they accepted it.",0,0,0,0,8,7,5,7,1,3,1,4,7,2,2,1,1,1,1,1,7,7,5,2,3,3,1,1,1,4,5,2.5,7,1,1,3,4,3,3,2,3,1,1,,,,,,,26,4,Aptitude Scenario Success,Success,Aptitude,Effort Dimensions|Luck Dimensions|Mood Dimensions|Task Dimensions|Strategy Dimensions|Aptitude Dimensions,Q90|SO3|SO2|SO1|SO4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
30,"I would have a talk with the employee and explain that the type of work that he had proposed, perhaps he has an issue at home or something else that we can work out.",7,,,,,,,,,,,"I would have a talk with the employee and explain that the type of work that he had proposed, perhaps he has an issue at home or something else that we can work out.",1,0,0,0,7,4,3,3,1,1,1,6,2,5,1,6,4,5,3,6,3,2,5,5,5,5,2,4,5,4,4,4.25,7,6,5,6,5,5,5,4,4.75,1,1,,,,,,,24,5,Aptitude Scenario Fail,Fail,Aptitude,Mood Dimensions|Task Dimensions|Effort Dimensions|Luck Dimensions|Aptitude Dimensions|Strategy Dimensions,Q90|SO4|SO2|SO3|SO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,,,,,,,,,,,I would showcase the work. I'm not sure what more needs to be said here? ,10,I would showcase the work. I'm not sure what more needs to be said here? ,0,0,0,0,10,1,1,7,1,7,1,1,4,4,4,7,1,7,7,7,7,7,5,4,4,5,3,3,5,4,5,4.125,6,4,5,5,3,4,3,3,3.25,1,1,,,,,,,48,5,Strategy Scenario Success,Success,Strategy,Luck Dimensions|Task Dimensions|Aptitude Dimensions|Strategy Dimensions|Effort Dimensions|Mood Dimensions,Q90|SO3|SO1|SO4|SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Sit down with them and talk to them about what they can improve and ask them to redo the proposal.,7,,,,,,,,,,,Sit down with them and talk to them about what they can improve and ask them to redo the proposal.,0,0,0,0,7,4,5,4,1,4,2,1,6,3,4,5,4,7,6,7,7,6,5,3,4,3,2,3,3,3,3,3,5,5,5,5,4,3,3,4,3.5,2,1,,,,,,,23,4,Aptitude Scenario Fail,Fail,Aptitude,Aptitude Dimensions|Task Dimensions|Effort Dimensions|Strategy Dimensions|Mood Dimensions|Luck Dimensions,Q90|SO4|SO3|SO1|SO2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
33,,,,,,,I would praise my employee and see if I could get them to present their idea as part of a growth/ showcase opportunity.,9,,,,,I would praise my employee and see if I could get them to present their idea as part of a growth/ showcase opportunity.,0,0,0,0,9,1,2,1,1,7,1,1,5,3,1,6,1,7,7,7,4,7,5,4,5,4,3,3,4,4,4,3.875,4,5,6,5,4,4,4,4,4,1,1,,,,,,,28,5,Effort Scenario Success,Success,Effort,Task Dimensions|Luck Dimensions|Aptitude Dimensions|Mood Dimensions|Strategy Dimensions|Effort Dimensions,Q90|SO1|SO3|SO4|SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,,,,,,,,,"cajole their employees into a sense of well-being, hoping that their comfort would .that are not using the MBO approach, most planning and objective setting to achieve ..allowing them to feel that the objectives they are working toward were not just handed . We may see a “hard” or a “soft” approach to managing,",10,,,"cajole their employees into a sense of well-being, hoping that their comfort would .that are not using the MBO approach, most planning and objective setting to achieve ..allowing them to feel that the objectives they are working toward were not just handed . We may see a “hard” or a “soft” approach to managing,",1,0,0,0,10,4,3,4,4,3,4,3,4,3,3,3,4,7,6,2,3,4,5,4,4,3,4,3,4,4,4,3.75,6,6,6,6,5,4,4,5,4.5,2,1,,,,,,,33,5,Strategy Scenario Fail,Fail,Strategy,Luck Dimensions|Mood Dimensions|Effort Dimensions|Strategy Dimensions|Task Dimensions|Aptitude Dimensions,Q90|SO3|SO4|SO2|SO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,,,,,"I would ask to speak privately with this employee about the matter, in order to better understand what happened. There may be additional information that I don't have.",6,,,,,,,"I would ask to speak privately with this employee about the matter, in order to better understand what happened. There may be additional information that I don't have.",1,0,0,0,6,4,4,4,4,7,1,4,6,1,2,7,1,4,4,4,7,7,5,5,3,5,2,5,5,5,5,4.375,3,4,3,3.333333333,3,4,3,3,3.25,2,1,,,,,,,29,5,Effort Scenario Fail,Fail,Effort,Mood Dimensions|Aptitude Dimensions|Task Dimensions|Luck Dimensions|Strategy Dimensions|Effort Dimensions,Q90|SO1|SO3|SO4|SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,,,just accepted and let that employee show how he or she can handle that position,11,,,,,,,,,just accepted and let that employee show how he or she can handle that position,0,0,0,0,11,6,6,3,5,5,5,4,5,5,5,6,5,6,4,6,4,5,5,4,4,4,3,4,4,4,4,3.875,5,5,6,5.333333333,3,5,5,3,4,2,1,,,,,,,36,4,Aptitude Scenario Success,Success,Aptitude,Strategy Dimensions|Mood Dimensions|Luck Dimensions|Aptitude Dimensions|Task Dimensions|Effort Dimensions,Q90|SO1|SO3|SO2|SO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,,,I would give the employee the opportunity to present their work and be recognized for their achievement.,10,,,,,,,,,I would give the employee the opportunity to present their work and be recognized for their achievement.,0,0,0,0,10,1,3,3,1,6,1,1,7,2,2,5,2,7,7,7,6,3,5,4,4,4,2,4,4,4,4,3.75,3,3,2,2.666666667,3,4,4,3,3.5,2,,,,1,American,,,38,5,Aptitude Scenario Success,Success,Aptitude,Task Dimensions|Effort Dimensions|Aptitude Dimensions|Mood Dimensions|Luck Dimensions|Strategy Dimensions,Q90|SO1|SO3|SO4|SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,,,,,,,I would examine the proposal and approve it if i thought it would work.,9,,,,,I would examine the proposal and approve it if i thought it would work.,0,0,0,0,9,2,2,6,2,4,2,2,6,3,2,4,3,7,4,7,7,6,5,3,4,4,2,4,4,4,4,3.625,6,6,4,5.333333333,3,4,4,3,3.5,1,1,,,,,,,47,5,Effort Scenario Success,Success,Effort,Mood Dimensions|Luck Dimensions|Aptitude Dimensions|Task Dimensions|Effort Dimensions|Strategy Dimensions,Q90|SO3|SO1|SO2|SO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
