"","id","aptadvicefail","aptexpectancyfail","aptadvicesucc","aptexpectancysucc","effortadvicefail","effortexpectancyfail","effortadvicesucc","effortexpectancysucc","stratadvisefail","stratexpectancyfail","stratadvicesucc","stratexpectancysucc","actions","investigate","invest","switch","transfer","expectancy","aptout","aptvar","aptuncon","effortout","effortvar","effortuncon","moodout","moodvar","mooduncon","stratout","stratvar","stratuncon","luckout","luckvar","luckuncon","taskout","taskvar","taskuncon","sms1","sms2","sms3","sms4","sms5","sms6","sms7","sms8","sms","smo1","smo2","smo3","smo","so1","so2","so3","so4","so","gender","race_1","race_2","race_3","race_4","race_4_text","race_5","race_7","age","education","scenario","valence","attribution","do-br-fl_26","do-bl-so","redo_val","redo_den","redo_final","method_val","method_den","method","bruteforce_val","bruteforce_den","bruteforce_final","tangiblerewards_val","tangiblerewards_den","tangiblerewards","threat_val","threat_den","threat","redo_den2","redo_val2","redo","bruteforce_den2","bruteforce_val2","bruteforce","race","aptitude.locus","strategy.locus","effort.locus","aptitude.var","strategy.var","effort.var","aptitude.uncon","strategy.uncon","effort.uncon","locusout","variability","uncontrollability"
"16",16,NA,NA,NA,NA,NA,NA,NA,NA,"i give one more chance for employee submitted to new proposal",7,NA,NA,"i give one more chance for employee submitted to new proposal",0,0,0,0,7,6,5,6,5,4,5,5,2,3,6,2,4,5,4,5,6,5,5,3,4,3,2,3,3,2,3,2.875,5,4,5,4.666666667,4,3,3,2,3,1,NA,NA,NA,NA,NA,"Black/African American",NA,37,6,"Strategy Scenario Fail","Fail","Strategy","Luck Dimensions|Strategy Dimensions|Effort Dimensions|Aptitude Dimensions|Task Dimensions|Mood Dimensions","Q90|SO2|SO1|SO4|SO3",1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,"Black/African American",NA,6,NA,NA,2,NA,NA,4,NA,6,2,4
"17",17,NA,NA,NA,NA,NA,NA,"I would just be supportive about it. I can always plan another in the later future.",5,NA,NA,NA,NA,"I would just be supportive about it. I can always plan another in the later future.",0,0,0,0,5,3,7,6,3,2,6,3,7,5,3,7,5,4,6,6,4,2,6,2,1,4,3,5,1,5,3,3,2,1,5,2.666666667,3,3,1,4,2.75,2,"White",NA,NA,NA,NA,"Black/African American",NA,23,4,"Effort Scenario Success","Success","Effort","Luck Dimensions|Mood Dimensions|Aptitude Dimensions|Effort Dimensions|Strategy Dimensions|Task Dimensions","Q90|SO1|SO3|SO4|SO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Black/African American",NA,NA,3,NA,NA,2,NA,NA,6,3,2,6
"18",18,NA,NA,NA,NA,"well after rejecting the plan i would call the employee and say him the issue and ask him to again work on the project and come up with good plan",7,NA,NA,NA,NA,NA,NA,"well after rejecting the plan i would call the employee and say him the issue and ask him to again work on the project and come up with good plan",0,0,0,0,7,6,5,5,6,6,6,5,5,5,6,5,5,4,6,6,6,6,5,4,3,3,3,3,4,3,3,3.25,6,5,5,5.333333333,4,4,4,4,4,1,"White",NA,NA,NA,NA,NA,NA,27,6,"Effort Scenario Fail","Fail","Effort","Mood Dimensions|Aptitude Dimensions|Task Dimensions|Effort Dimensions|Strategy Dimensions|Luck Dimensions","Q90|SO3|SO1|SO4|SO2",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"White",NA,NA,6,NA,NA,6,NA,NA,6,6,6,6
"19",19,NA,NA,"I would showcase the proposal and give the employee the credit they deserve.",9,NA,NA,NA,NA,NA,NA,NA,NA,"I would showcase the proposal and give the employee the credit they deserve.",0,0,0,0,9,2,1,2,1,2,1,1,1,1,1,1,1,6,6,4,4,3,4,4,4,5,2,5,4,5,5,4.25,7,7,6,6.666666667,4,5,5,4,4.5,1,"White",NA,NA,NA,NA,NA,NA,48,4,"Aptitude Scenario Success","Success","Aptitude","Task Dimensions|Mood Dimensions|Aptitude Dimensions|Luck Dimensions|Strategy Dimensions|Effort Dimensions","Q90|SO2|SO3|SO1|SO4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",2,NA,NA,1,NA,NA,2,NA,NA,2,1,2
"20",20,NA,NA,NA,NA,NA,NA,"I would review the proposal before showcasing it.  When I did showcase the proposal I would make sure to give credit to the employee who submitted the proposal and did all the leg work.  I would want to make sure that I went over the proposal to make 100% it was correct, and once it was showcased I would want to make sure the employee got the credit they deserve.",10,NA,NA,NA,NA,"I would review the proposal before showcasing it.  When I did showcase the proposal I would make sure to give credit to the employee who submitted the proposal and did all the leg work.  I would want to make sure that I went over the proposal to make 100% it was correct, and once it was showcased I would want to make sure the employee got the credit they deserve.",0,0,0,0,10,1,4,6,1,2,1,1,7,5,1,3,2,4,5,7,7,5,6,4,3,4,1,5,3,5,4,3.625,6,7,6,6.333333333,4,3,5,4,4,1,"White",NA,NA,NA,NA,NA,NA,31,4,"Effort Scenario Success","Success","Effort","Task Dimensions|Luck Dimensions|Effort Dimensions|Mood Dimensions|Strategy Dimensions|Aptitude Dimensions","Q90|SO1|SO3|SO4|SO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",NA,NA,1,NA,NA,2,NA,NA,1,1,2,1
"21",21,NA,NA,NA,NA,"i would explain to the employee that i did not feel he put enough effort into it and to do it again",6,NA,NA,NA,NA,NA,NA,"i would explain to the employee that i did not feel he put enough effort into it and to do it again",0,0,0,0,6,4,4,4,6,3,2,5,3,5,5,4,4,4,4,4,2,2,2,3,3,3,3,3,3,4,4,3.25,6,5,5,5.333333333,3,3,3,3,3,2,"White",NA,NA,NA,NA,NA,NA,40,4,"Effort Scenario Fail","Fail","Effort","Effort Dimensions|Luck Dimensions|Strategy Dimensions|Aptitude Dimensions|Task Dimensions|Mood Dimensions","Q90|SO4|SO3|SO1|SO2",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,"White",NA,NA,6,NA,NA,3,NA,NA,2,6,3,2
"22",22,"I would try giving the employee a task more suited for lower abilities. If they couldn't handle this, I would consider terminating them.",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I would try giving the employee a task more suited for lower abilities. If they couldn't handle this, I would consider terminating them.",0,0,1,1,3,3,2,7,1,3,2,3,5,5,2,6,2,7,7,7,7,6,6,3,3,3,2,2,2,2,2,2.375,2,2,2,2,4,4,4,4,4,2,"White",NA,NA,NA,NA,NA,NA,28,5,"Aptitude Scenario Fail","Fail","Aptitude","Strategy Dimensions|Luck Dimensions|Mood Dimensions|Task Dimensions|Effort Dimensions|Aptitude Dimensions","Q90|SO3|SO2|SO4|SO1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"White",3,NA,NA,2,NA,NA,7,NA,NA,3,2,7
"23",23,NA,NA,NA,NA,NA,NA,NA,NA,"I would speak to the employee about his/her subpar performance and ask to resubmit a new proposal.",4,NA,NA,"I would speak to the employee about his/her subpar performance and ask to resubmit a new proposal.",0,0,0,0,4,3,6,2,2,6,3,2,6,2,2,6,2,6,6,7,6,6,6,4,4,3,2,3,4,4,5,3.625,6,6,6,6,3,4,5,4,4,2,NA,NA,NA,NA,NA,"Black/African American",NA,38,5,"Strategy Scenario Fail","Fail","Strategy","Aptitude Dimensions|Effort Dimensions|Task Dimensions|Luck Dimensions|Strategy Dimensions|Mood Dimensions","Q90|SO1|SO3|SO2|SO4",1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,"Black/African American",NA,2,NA,NA,6,NA,NA,2,NA,2,6,2
"24",24,NA,NA,NA,NA,"I would reject the proposal and then talk to the employee about their performance. If it's out of character for the employee I would want to ask if there's something going on in their personal life.",7,NA,NA,NA,NA,NA,NA,"I would reject the proposal and then talk to the employee about their performance. If it's out of character for the employee I would want to ask if there's something going on in their personal life.",1,0,0,0,7,1,3,2,1,6,1,1,4,2,2,2,1,7,7,7,6,7,4,3,4,3,2,4,3,4,4,3.375,5,5,5,5,4,3,4,4,3.75,2,NA,NA,NA,NA,NA,"Black/African American",NA,24,7,"Effort Scenario Fail","Fail","Effort","Luck Dimensions|Task Dimensions|Aptitude Dimensions|Mood Dimensions|Effort Dimensions|Strategy Dimensions","Q90|SO2|SO1|SO3|SO4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Black/African American",NA,NA,1,NA,NA,6,NA,NA,1,1,6,1
"25",25,NA,NA,NA,NA,NA,NA,NA,NA,"i would explain to them the flaws in their proposal and ask them to revise.",6,NA,NA,"i would explain to them the flaws in their proposal and ask them to revise.",0,0,0,0,6,2,5,4,3,5,2,2,5,3,4,6,2,6,6,5,5,4,5,3,4,4,2,3,4,3,4,3.375,6,5,6,5.666666667,4,3,3,4,3.5,1,"White",NA,NA,NA,NA,NA,NA,29,5,"Strategy Scenario Fail","Fail","Strategy","Task Dimensions|Aptitude Dimensions|Mood Dimensions|Luck Dimensions|Effort Dimensions|Strategy Dimensions","Q90|SO2|SO1|SO4|SO3",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"White",NA,4,NA,NA,6,NA,NA,2,NA,4,6,2
"26",26,NA,NA,NA,NA,NA,NA,NA,NA,"I would give the proposal back to the employee and tell them to redo the work. I would list what is wrong with the proposal and make sure they know the quality of work that is expected of them in the future.",7,NA,NA,"I would give the proposal back to the employee and tell them to redo the work. I would list what is wrong with the proposal and make sure they know the quality of work that is expected of them in the future.",0,0,0,0,7,1,1,6,1,6,1,3,5,2,2,3,1,7,7,7,7,7,5,3,3,3,2,3,3,3,3,2.875,3,3,3,3,3,4,3,3,3.25,1,"White",NA,NA,NA,NA,NA,NA,42,5,"Strategy Scenario Fail","Fail","Strategy","Aptitude Dimensions|Luck Dimensions|Mood Dimensions|Strategy Dimensions|Task Dimensions|Effort Dimensions","Q90|SO2|SO4|SO3|SO1",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,"White",NA,2,NA,NA,3,NA,NA,1,NA,2,3,1
"27",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I would praise the employee, giving a bonus if possible, as well as showcase it for the rest of the company.",9,"I would praise the employee, giving a bonus if possible, as well as showcase it for the rest of the company.",0,0,0,0,9,2,4,5,1,3,1,1,4,1,1,5,3,7,7,7,6,7,5,3,3,2,3,3,2,4,3,2.875,5,4,4,4.333333333,4,5,4,4,4.25,1,"White",NA,NA,NA,NA,NA,NA,24,5,"Strategy Scenario Success","Success","Strategy","Strategy Dimensions|Aptitude Dimensions|Task Dimensions|Luck Dimensions|Mood Dimensions|Effort Dimensions","Q90|SO4|SO3|SO2|SO1",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"White",NA,1,NA,NA,5,NA,NA,3,NA,1,5,3
"28",28,NA,NA,NA,NA,"I will strongly punish him for that low quality proposal. And i will inform him for that.",10,NA,NA,NA,NA,NA,NA,"I will strongly punish him for that low quality proposal. And i will inform him for that.",0,0,0,0,10,2,2,2,7,6,7,3,5,2,2,3,2,6,6,2,3,2,5,4,4,5,4,4,3,5,4,4.125,6,7,6,6.333333333,5,4,4,5,4.5,2,"White",NA,NA,NA,NA,NA,NA,28,6,"Effort Scenario Fail","Fail","Effort","Effort Dimensions|Luck Dimensions|Aptitude Dimensions|Strategy Dimensions|Mood Dimensions|Task Dimensions","Q90|SO3|SO1|SO2|SO4",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"White",NA,NA,7,NA,NA,6,NA,NA,7,7,6,7
"29",29,NA,NA,"In this situation I would talk with the employee after the submitted their proposal, I would use their proposal to showcase and then afterwards give them credit, and then ask them if they wanted a promotion and pay raise based on their work and give it to them if they accepted it.",8,NA,NA,NA,NA,NA,NA,NA,NA,"In this situation I would talk with the employee after the submitted their proposal, I would use their proposal to showcase and then afterwards give them credit, and then ask them if they wanted a promotion and pay raise based on their work and give it to them if they accepted it.",0,0,0,0,8,7,5,7,1,3,1,4,7,2,2,1,1,1,1,1,7,7,5,2,3,3,1,1,1,4,5,2.5,7,1,1,3,4,3,3,2,3,1,"White",NA,NA,NA,NA,NA,NA,26,4,"Aptitude Scenario Success","Success","Aptitude","Effort Dimensions|Luck Dimensions|Mood Dimensions|Task Dimensions|Strategy Dimensions|Aptitude Dimensions","Q90|SO3|SO2|SO1|SO4",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"White",7,NA,NA,5,NA,NA,7,NA,NA,7,5,7
"30",30,"I would have a talk with the employee and explain that the type of work that he had proposed, perhaps he has an issue at home or something else that we can work out.",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I would have a talk with the employee and explain that the type of work that he had proposed, perhaps he has an issue at home or something else that we can work out.",1,0,0,0,7,4,3,3,1,1,1,6,2,5,1,6,4,5,3,6,3,2,5,5,5,5,2,4,5,4,4,4.25,7,6,5,6,5,5,5,4,4.75,1,"White",NA,NA,NA,NA,NA,NA,24,5,"Aptitude Scenario Fail","Fail","Aptitude","Mood Dimensions|Task Dimensions|Effort Dimensions|Luck Dimensions|Aptitude Dimensions|Strategy Dimensions","Q90|SO4|SO2|SO3|SO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",4,NA,NA,3,NA,NA,3,NA,NA,4,3,3
"31",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I would showcase the work. I'm not sure what more needs to be said here?",10,"I would showcase the work. I'm not sure what more needs to be said here?",0,0,0,0,10,1,1,7,1,7,1,1,4,4,4,7,1,7,7,7,7,7,5,4,4,5,3,3,5,4,5,4.125,6,4,5,5,3,4,3,3,3.25,1,"White",NA,NA,NA,NA,NA,NA,48,5,"Strategy Scenario Success","Success","Strategy","Luck Dimensions|Task Dimensions|Aptitude Dimensions|Strategy Dimensions|Effort Dimensions|Mood Dimensions","Q90|SO3|SO1|SO4|SO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",NA,4,NA,NA,7,NA,NA,1,NA,4,7,1
"32",32,"Sit down with them and talk to them about what they can improve and ask them to redo the proposal.",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sit down with them and talk to them about what they can improve and ask them to redo the proposal.",0,0,0,0,7,4,5,4,1,4,2,1,6,3,4,5,4,7,6,7,7,6,5,3,4,3,2,3,3,3,3,3,5,5,5,5,4,3,3,4,3.5,2,"White",NA,NA,NA,NA,NA,NA,23,4,"Aptitude Scenario Fail","Fail","Aptitude","Aptitude Dimensions|Task Dimensions|Effort Dimensions|Strategy Dimensions|Mood Dimensions|Luck Dimensions","Q90|SO4|SO3|SO1|SO2",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"White",4,NA,NA,5,NA,NA,4,NA,NA,4,5,4
