"","ID","Apt advice","Apt expectancy","Effort Advice","Effort Expectancy","Strat Advise","Strat Expectancy","Luck Advise","Luck Expectancy","Advice","Strategy_frequency","Strategy_factors","AptOut","AptVar","AptUncon","EffortOut","EffortVar","EffortUncon","MoodOut","MoodVar","MoodUncon","StratOut","StratVar","StratUncon","LuckOut","LuckVar","LuckUncon","TaskOut","TaskVar","TaskUncon","SMS1","SMS2","SMS3","SMS4","SMS5","SMS6","SMO1","SMO2","SMO3","MP1","MP2","MP3","MP4","SO1","SO2","SO3","SO4","SMS_mean","SMO_mean","MP_mean","SO_mean","Expectancy","Gender","Age","Education","Scenario","Effort_Dum","Strategy_Dum","SE_Dum","Justification","Detailed","Possibilities","Resources","Resources_withNotes","HelpingBeh","Prioritization","Quality","Method_Val","Method_Den","Method","BruteForce_Val","BruteForce_Den","Bruteforce_Final","SeekHelp_Val","SeekHelp_Den","SeekHelp","NoteTaking_Val","NoteTaking_Den","NoteTaking","BruteForcePure_Den","BruteForcePure_Val","BruteForce","Combined_Method","Convergent_Method","total_method","Total","Method_bin","BruteForce_bin","aptitude.locus","strategy.locus","effort.locus","aptitude.var","strategy.var","effort.var","aptitude.uncon","strategy.uncon","effort.uncon","LocusOut","Variability","Uncontrollability"
"13",18,"I would recommend that Amelia take some extra time to study more before the next test.  She should join a study group, get a tutor and talk to the teacher.",9,NA,NA,NA,NA,NA,NA,"I would recommend that Amelia take some extra time to study more before the next test.  She should join a study group, get a tutor and talk to the teacher.",NA,NA,1,4,4,1,7,1,1,7,1,4,7,5,7,7,7,7,7,7,5,5,5,5,5,5,7,7,7,5,5,5,5,4,5,3,4,5,7,5,4,9,1,45,4,"Aptitude",0,0,NA,0,0.5,0,1,1,2,0,0.3,0,0,0,1,1,1,3,3,3,0,0,0,1,1,0,0,1,1,4,0,0,1,NA,NA,4,NA,NA,4,NA,NA,1,4,4
"14",19,NA,NA,NA,NA,"I would probably explain to her different ways of studying that might help with retaining the information. Some people learn better by repeating things out loud, some people do well with re-copying information. Flash cards about the information and pre testing can help also. I would see which one sounded appealing to her and offer to help her study",8,NA,NA,"I would probably explain to her different ways of studying that might help with retaining the information. Some people learn better by repeating things out loud, some people do well with re-copying information. Flash cards about the information and pre testing can help also. I would see which one sounded appealing to her and offer to help her study",NA,NA,1,6,4,1,7,1,2,7,4,2,5,2,7,7,7,6,6,7,3,4,4,2,4,4,5,5,4,3,4,3,3,4,4,4,4,3.8,4.66666666666667,3.25,4,8,2,39,4,"Strategy",0,1,1,1,1,1,1,1,0,0,0.8,3,4,3,1,0,1,0,0,0,0,0,0,1,0,1,3,0,3,4,1,1,NA,2,NA,NA,5,NA,NA,2,NA,2,5,2
"15",20,"I would ask Amelia if she would like me to help her study. If she agreed, I would help her study until she understood the material. I would also tell her that she will do good and to not worry. I would try to boost her confidence so she could pass the test.",9,NA,NA,NA,NA,NA,NA,"I would ask Amelia if she would like me to help her study. If she agreed, I would help her study until she understood the material. I would also tell her that she will do good and to not worry. I would try to boost her confidence so she could pass the test.",NA,NA,1,3,1,1,5,1,1,7,1,1,5,1,7,7,7,6,6,4,3,3,3,3,3,3,1,1,1,3,4,3,1,3,3,3,3,3,1,2.75,3,9,2,48,5,"Aptitude",0,0,NA,0.5,0,1,0,0,1,0,0.3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,3,NA,NA,1,NA,NA,1,3,1
"16",21,NA,NA,NA,NA,"Take the notes that you have taken and break them down&gt; really think about what the lecturer is saying. Once you break it down and take in what is being said really learn the material.",6,NA,NA,"Take the notes that you have taken and break them down&gt; really think about what the lecturer is saying. Once you break it down and take in what is being said really learn the material.",NA,NA,1,1,7,1,7,1,1,7,7,1,7,1,7,7,7,7,7,7,5,5,5,5,5,5,7,7,7,4,4,4,4,4,4,4,4,5,7,4,4,6,2,42,5,"Strategy",0,1,1,0,0.5,0,1,1,0,0,0.3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,NA,1,NA,NA,7,NA,NA,1,NA,1,7,1
"17",22,NA,NA,NA,NA,"Mindlessly copying notes is not a helpful strategy. You have to truly internalize the information. The best way I have found to do this is to verbally talk about the subjects. Try to remember what the professor said and create your own thoughts around that. Perhaps you want to talk to me about what your test is covering?",9,NA,NA,"Mindlessly copying notes is not a helpful strategy. You have to truly internalize the information. The best way I have found to do this is to verbally talk about the subjects. Try to remember what the professor said and create your own thoughts around that. Perhaps you want to talk to me about what your test is covering?",NA,NA,2,2,5,1,4,2,1,7,4,2,6,6,7,7,7,7,7,7,3,3,4,2,4,4,3,2,2,3,3,3,3,4,5,3,4,3.6,2.33333333333333,3,4,9,2,26,5,"Strategy",0,1,1,1,1,0,0,0,0,1,0.6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,NA,2,NA,NA,6,NA,NA,6,NA,2,6,6
"18",23,"Would offer to help tutor her, but also she would need to develop her own system in order to better grasp the information.  i.e. use of metaphor that is common in her everyday life",10,NA,NA,NA,NA,NA,NA,"Would offer to help tutor her, but also she would need to develop her own system in order to better grasp the information.  i.e. use of metaphor that is common in her everyday life",NA,NA,1,6,1,1,4,1,2,7,1,1,7,1,7,7,7,7,7,4,4,4,4,1,4,4,6,6,6,5,4,4,4,5,4,4,5,4,6,4.25,4.5,10,1,39,5,"Aptitude",0,0,NA,0.5,1,0,0,0,1,0,0.3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,NA,NA,6,NA,NA,1,NA,NA,1,6,1
"19",24,NA,NA,"I would advise her to fundamentally alter her approach to the second test. It's obvious that she did poorly on the previous test due to her inattention to the study materials; if she wants to improve, she will have to actually study the materials this time. It's a pretty simple solution and would go a long way in improving her chances. I would tell her that, but I would be supportive about it.",10,NA,NA,NA,NA,"I would advise her to fundamentally alter her approach to the second test. It's obvious that she did poorly on the previous test due to her inattention to the study materials; if she wants to improve, she will have to actually study the materials this time. It's a pretty simple solution and would go a long way in improving her chances. I would tell her that, but I would be supportive about it.",NA,NA,1,7,2,1,3,1,1,7,3,1,4,1,7,7,7,7,5,5,5,5,5,1,5,5,7,7,7,5,5,5,4,4,4,4,4,5,7,4.75,4,10,1,25,3,"Effort",1,0,0,1,0,0,0,0,0,0,0.2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,NA,NA,1,NA,NA,3,NA,NA,1,1,3,1
"20",26,NA,NA,"I'd explain that I know it might be boring, but the best way to do well is to pay attention during class, jot down notes on what the teacher emphasizes is important, and review your materials at home prior to the exam.  This is what I've always done and it works.",8,NA,NA,NA,NA,"I'd explain that I know it might be boring, but the best way to do well is to pay attention during class, jot down notes on what the teacher emphasizes is important, and review your materials at home prior to the exam.  This is what I've always done and it works.",NA,NA,1,3,5,2,6,2,2,7,5,2,4,3,4,6,7,7,7,5,4,5,5,2,4,4,2,2,1,3,4,4,3,3,4,3,3,4.4,1.66666666666667,3.5,3.25,8,2,37,6,"Effort",1,0,0,1,1,0,0,1,0,1,0.8,0,1,1,2,2,2,0,0,0,1,0,0,1,2,1,1,1,2,3,1,1,NA,NA,2,NA,NA,6,NA,NA,2,2,6,2
"21",27,NA,NA,"Why don't you come with me and some friends to the library, and we'll study for the test together? We'll all knock it out and ace it, you watch. Studying in groups is sometimes way more helpful, so you should study with us.",11,NA,NA,NA,NA,"Why don't you come with me and some friends to the library, and we'll study for the test together? We'll all knock it out and ace it, you watch. Studying in groups is sometimes way more helpful, so you should study with us.",NA,NA,1,4,1,1,1,1,1,7,4,1,4,1,7,7,7,4,3,4,3,5,5,1,5,5,7,7,7,5,5,5,3,4,4,4,4,4.6,7,4.5,4,11,1,35,5,"Effort",1,0,0,0.5,0,0,1,1,1,0,0.3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1
"22",28,NA,NA,"The most important thing is to pay attention during class and make sure your notes reflect what the teacher is speaking about in the lesson, this will give a few ideas of what to expect on the test.  The other important thing is to study both the material and your notes for an extended period of time prior to any upcoming test.  You can also meet with the teacher to get any information that might help",9,NA,NA,NA,NA,"The most important thing is to pay attention during class and make sure your notes reflect what the teacher is speaking about in the lesson, this will give a few ideas of what to expect on the test.  The other important thing is to study both the material and your notes for an extended period of time prior to any upcoming test.  You can also meet with the teacher to get any information that might help",NA,NA,1,2,5,2,5,2,4,6,4,2,5,2,5,5,4,5,5,3,3,3,3,3,3,3,5,4,3,2,3,3,2,3,3,3,3,3,4,2.5,3,9,1,32,4,"Effort",1,0,0,1,1,0,1,1,1,1,0.8,1,1,1,2,2,2,1,1,1,0,1,0,2,2,0,1,2,3,4,1,0,NA,NA,2,NA,NA,5,NA,NA,2,2,5,2
"23",29,NA,NA,"I would be sure to take diligent notes in class and set aside time each day to study the materials and dedicate them to memory and practice.",11,NA,NA,NA,NA,"I would be sure to take diligent notes in class and set aside time each day to study the materials and dedicate them to memory and practice.",NA,NA,1,2,3,1,2,1,1,7,4,1,3,1,6,5,7,6,4,6,4,4,4,2,4,5,6,5,5,5,4,4,2,4,4,3,4,4.2,5.33333333333333,3.75,3.75,11,2,27,5,"Effort",1,0,0,0,1,0,0,1,0,0,0.4,2,0,0,0,2,3,0,0,0,1,0,0,3,1,3,0,0,0,3,0,1,NA,NA,1,NA,NA,2,NA,NA,1,1,2,1
"24",32,NA,NA,"Study and put in more effort. You have to actually try for things to go well, otherwise it's just not going to happen. It doesn't magically come to you.",11,NA,NA,NA,NA,"Study and put in more effort. You have to actually try for things to go well, otherwise it's just not going to happen. It doesn't magically come to you.",NA,NA,3,3,4,2,3,3,1,5,5,2,3,3,4,6,7,4,4,3,3,3,3,2,2,3,4,3,3,4,2,3,4,3,4,3,4,2.8,3.33333333333333,3.25,3.5,11,2,27,5,"Effort",1,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,NA,NA,2,NA,NA,3,NA,NA,3,2,3,3
"25",34,NA,NA,NA,NA,"Try understanding the fundamental concepts of what you're learning. Then memorize the key facts that are involved.",10,NA,NA,"Try understanding the fundamental concepts of what you're learning. Then memorize the key facts that are involved.",NA,NA,1,3,5,1,4,2,1,5,2,2,6,1,6,7,5,7,5,4,4,3,3,3,5,4,4,4,4,3,4,5,3,4,5,3,4,3.8,4,3.75,4,10,1,38,5,"Strategy",0,1,1,0,0.5,0,0,0,0,1,0.3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,NA,2,NA,NA,6,NA,NA,1,NA,2,6,1
"26",35,"Immerse yourself in the subject matter as much as you possibly can.  Find a tutor and/or someone else in your class who you know is passionate about the subject matter...and ask them to work with you.  Be relentless until you're sure you've learned everything to the very best of your ability.",10,NA,NA,NA,NA,NA,NA,"Immerse yourself in the subject matter as much as you possibly can.  Find a tutor and/or someone else in your class who you know is passionate about the subject matter...and ask them to work with you.  Be relentless until you're sure you've learned everything to the very best of your ability.",NA,NA,1,1,7,1,5,1,1,5,5,3,5,1,7,6,7,7,1,6,4,4,4,2,4,4,7,6,5,3,3,4,3,3,4,4,3,4,6,3.25,3.5,10,1,43,4,"Aptitude",0,0,NA,0,1,0,1,1,1,0,0.4,1,1,1,0,1,1,2,1,2,0,0,0,1,1,0,1,1,2,4,1,0,1,NA,NA,1,NA,NA,7,NA,NA,1,1,7
"27",36,NA,NA,"Tell her she needs to put more attention to the class. Offer her my notes to copy then request a study date for her so that I can help her retain the important information needed on the test.",7,NA,NA,NA,NA,"Tell her she needs to put more attention to the class. Offer her my notes to copy then request a study date for her so that I can help her retain the important information needed on the test.",NA,NA,4,7,4,1,1,1,7,3,4,1,7,5,1,7,7,7,7,4,4,4,4,2,3,4,5,4,4,4,3,4,3,4,3,4,4,3.8,4.33333333333333,3.5,3.75,7,2,29,5,"Effort",1,0,0,1,0.5,0,0,1,1,1,0.7,0,0,0,1,1,1,1,2,2,0,0,0,1,1,0,0,1,1,3,0,0,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1
"28",38,NA,NA,NA,NA,"I would have her write notes on examples she can think of while in class. Any notes she has have her review and write example of each concept.",9,NA,NA,"I would have her write notes on examples she can think of while in class. Any notes she has have her review and write example of each concept.",NA,NA,2,4,2,4,6,3,1,7,4,2,5,5,5,7,7,3,6,5,3,5,4,2,5,5,5,5,6,3,3,3,2,3,4,3,3,4.4,5.33333333333333,2.75,3.25,9,2,60,3,"Strategy",0,1,1,0,1,0,1,1,0,0,0.4,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0,2,1,3,3,1,0,NA,2,NA,NA,5,NA,NA,5,NA,2,5,5
"29",39,NA,NA,NA,NA,"Study the book more and actually read the book. Try to understand what the materials mean instead of just memorizing things.",8,NA,NA,"Study the book more and actually read the book. Try to understand what the materials mean instead of just memorizing things.",NA,NA,1,6,2,2,6,2,2,6,5,2,6,2,7,7,7,5,6,5,4,4,5,4,4,4,5,5,6,4,4,4,5,4,5,4,4,4.2,5.33333333333333,4.25,4.25,8,2,35,5,"Strategy",0,1,1,0,0,0,0,0,0,1,0.2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,2,2,1,0,NA,2,NA,NA,6,NA,NA,2,NA,2,6,2
"30",40,"I would still give her direction and instruction on how to do the specific task. I would even give her additional coaching to give her tips and pointers on where she make errors. I was in asked if she's comfortable to complete the task. If she isn't then I will ask if I can take over.",11,NA,NA,NA,NA,NA,NA,"I would still give her direction and instruction on how to do the specific task. I would even give her additional coaching to give her tips and pointers on where she make errors. I was in asked if she's comfortable to complete the task. If she isn't then I will ask if I can take over.",NA,NA,4,5,1,4,6,6,3,3,3,5,5,5,7,7,7,5,6,6,3,3,3,3,4,3,6,6,6,3,4,4,5,5,5,5,5,3.2,6,4,5,11,2,28,5,"Aptitude",0,0,NA,0,0.5,1,0,0,1,0,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,4,NA,NA,5,NA,NA,1,NA,NA,4,5,1
"31",43,"Try to record the lecture so you can go back and listen to it. Try to study in a way that relates to you.",9,NA,NA,NA,NA,NA,NA,"Try to record the lecture so you can go back and listen to it. Try to study in a way that relates to you.",NA,NA,3,5,3,2,5,2,1,7,2,4,7,1,6,7,7,4,6,5,4,4,4,2,4,4,5,4,5,4,3,4,3,4,4,4,4,4,4.66666666666667,3.5,4,9,2,41,5,"Aptitude",0,0,NA,0.5,0.5,0,0,1,0,0,0.4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,3,NA,NA,5,NA,NA,3,NA,NA,3,5,3
"32",44,"I would advise Amelia to set aside time each day to work through the subject matter. She needs to make a list of what subtopics she has the most trouble with, and devote extra time to that. If possible, I'd tell her to contact the instructor for some outside tutoring if possible, or help her to find a peer tutor. She's going to need to spend a fair amount of time studying for this test if she wants to do well.",9,NA,NA,NA,NA,NA,NA,"I would advise Amelia to set aside time each day to work through the subject matter. She needs to make a list of what subtopics she has the most trouble with, and devote extra time to that. If possible, I'd tell her to contact the instructor for some outside tutoring if possible, or help her to find a peer tutor. She's going to need to spend a fair amount of time studying for this test if she wants to do well.",NA,NA,6,3,5,1,2,1,3,6,3,1,3,1,7,7,7,7,3,6,5,4,5,2,4,4,6,6,7,3,5,4,3,4,4,5,4,4.4,6.33333333333333,3.75,4.25,9,2,21,3,"Aptitude",0,0,NA,0.5,1,1,1,1,1,1,0.9,1,1,1,1,2,2,2,2,2,0,0,0,2,1,2,1,0,1,5,1,1,6,NA,NA,3,NA,NA,5,NA,NA,6,3,5
"33",45,"Its best to start studying as early as possible. Try to ask questions in class about anything you're confused on. Finding a study partner might help make the material less boring to study.",9,NA,NA,NA,NA,NA,NA,"Its best to start studying as early as possible. Try to ask questions in class about anything you're confused on. Finding a study partner might help make the material less boring to study.",NA,NA,1,3,5,1,6,1,2,6,2,2,5,2,7,6,7,5,3,6,3,2,4,2,3,3,4,3,3,4,3,4,2,3,3,2,3,3,3.33333333333333,3.25,2.75,9,1,33,4,"Aptitude",0,0,NA,1,1,1,1,1,0,0,0.8,2,2,2,1,1,1,0,0,0,0,0,0,1,1,0,2,1,3,3,1,0,1,NA,NA,3,NA,NA,5,NA,NA,1,3,5
"34",46,NA,NA,NA,NA,"I think that maybe you should take a different approach than what you're doing. I don't think that just trying to memorize everything is working out for you. You need to try to understand the material rather than just memorizing it word for word. You're going to want to know why something works the way it does and not just accept that it works. I can help you if you need me to. Just let me know what you want to do.",8,NA,NA,"I think that maybe you should take a different approach than what you're doing. I don't think that just trying to memorize everything is working out for you. You need to try to understand the material rather than just memorizing it word for word. You're going to want to know why something works the way it does and not just accept that it works. I can help you if you need me to. Just let me know what you want to do.",NA,NA,3,7,4,2,7,2,2,7,3,1,7,1,5,3,3,5,6,4,3,3,3,4,2,3,4,3,3,5,5,4,3,3,2,3,3,2.8,3.33333333333333,4.25,2.75,8,3,26,4,"Strategy",0,1,1,1,0,0,0,0,1,1,0.4,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,0,NA,1,NA,NA,7,NA,NA,1,NA,1,7,1
"35",47,"I would tell her that she should seek a professional. She should go to a tutor and have everything explained at her pace.",8,NA,NA,NA,NA,NA,NA,"I would tell her that she should seek a professional. She should go to a tutor and have everything explained at her pace.",NA,NA,1,7,1,1,5,1,1,7,1,1,3,2,5,7,7,7,2,3,4,2,4,4,5,4,6,6,2,3,3,4,2,3,3,4,4,3.8,4.66666666666667,3,3.5,8,1,29,5,"Aptitude",0,0,NA,1,0,0,1,1,1,0,0.4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,7,NA,NA,1,NA,NA,1,7,1
"36",48,NA,NA,NA,NA,"I would have her re-assess how she implements new information she hears. Perhaps she could use word or situation association. I personally like to absorb the information more like reading a movie plot.",9,NA,NA,"I would have her re-assess how she implements new information she hears. Perhaps she could use word or situation association. I personally like to absorb the information more like reading a movie plot.",NA,NA,2,2,2,1,3,1,2,3,3,2,4,2,6,5,5,4,4,4,4,4,4,2,4,4,5,6,6,4,4,5,4,4,5,4,4,4,5.66666666666667,4.25,4.25,9,2,49,5,"Strategy",0,1,1,0,1,1,0,0,0,0,0.4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,NA,2,NA,NA,4,NA,NA,2,NA,2,4,2
